Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,height_inches,match_name,match_year,pfr_player_id,gsis_id,w_av,probowls,allpro,hof,age,college,team,college_index,college_match_score,college_match_reason,player,team_college,position,cfbd_career_defensive_pd,cfbd_career_defensive_qb_hur,cfbd_career_defensive_sacks,cfbd_career_defensive_solo,cfbd_career_defensive_td,cfbd_career_defensive_tfl,cfbd_career_defensive_tot,cfbd_career_fumbles_fum,cfbd_career_fumbles_lost,cfbd_career_fumbles_rec,cfbd_career_interceptions_avg,cfbd_career_interceptions_int,cfbd_career_interceptions_td,cfbd_career_interceptions_yds,cfbd_career_kicking_fga,cfbd_career_kicking_fgm,cfbd_career_kicking_long,cfbd_career_kicking_pct,cfbd_career_kicking_pts,cfbd_career_kicking_xpa,cfbd_career_kicking_xpm,cfbd_career_kickreturns_avg,cfbd_career_kickreturns_long,cfbd_career_kickreturns_no,cfbd_career_kickreturns_td,cfbd_career_kickreturns_yds,cfbd_career_passing_att,cfbd_career_passing_completions,cfbd_career_passing_int,cfbd_career_passing_pct,cfbd_career_passing_td,cfbd_career_passing_yds,cfbd_career_passing_ypa,cfbd_career_punting_in_20,cfbd_career_punting_long,cfbd_career_punting_no,cfbd_career_punting_tb,cfbd_career_punting_yds,cfbd_career_punting_ypp,cfbd_career_puntreturns_avg,cfbd_career_puntreturns_long,cfbd_career_puntreturns_no,cfbd_career_puntreturns_td,cfbd_career_puntreturns_yds,cfbd_career_receiving_long,cfbd_career_receiving_rec,cfbd_career_receiving_td,cfbd_career_receiving_yds,cfbd_career_receiving_ypr,cfbd_career_rushing_car,cfbd_career_rushing_long,cfbd_career_rushing_td,cfbd_career_rushing_yds,cfbd_career_rushing_ypc,cfbd_seasons_played,cfbd_final_year,cfbd_final_defensive_pd,cfbd_final_defensive_qb_hur,cfbd_final_defensive_sacks,cfbd_final_defensive_solo,cfbd_final_defensive_td,cfbd_final_defensive_tfl,cfbd_final_defensive_tot,cfbd_final_fumbles_fum,cfbd_final_fumbles_lost,cfbd_final_fumbles_rec,cfbd_final_interceptions_avg,cfbd_final_interceptions_int,cfbd_final_interceptions_td,cfbd_final_interceptions_yds,cfbd_final_kicking_fga,cfbd_final_kicking_fgm,cfbd_final_kicking_long,cfbd_final_kicking_pct,cfbd_final_kicking_pts,cfbd_final_kicking_xpa,cfbd_final_kicking_xpm,cfbd_final_kickreturns_avg,cfbd_final_kickreturns_long,cfbd_final_kickreturns_no,cfbd_final_kickreturns_td,cfbd_final_kickreturns_yds,cfbd_final_passing_att,cfbd_final_passing_completions,cfbd_final_passing_int,cfbd_final_passing_pct,cfbd_final_passing_td,cfbd_final_passing_yds,cfbd_final_passing_ypa,cfbd_final_punting_in_20,cfbd_final_punting_long,cfbd_final_punting_no,cfbd_final_punting_tb,cfbd_final_punting_yds,cfbd_final_punting_ypp,cfbd_final_puntreturns_avg,cfbd_final_puntreturns_long,cfbd_final_puntreturns_no,cfbd_final_puntreturns_td,cfbd_final_puntreturns_yds,cfbd_final_receiving_long,cfbd_final_receiving_rec,cfbd_final_receiving_td,cfbd_final_receiving_yds,cfbd_final_receiving_ypr,cfbd_final_rushing_car,cfbd_final_rushing_long,cfbd_final_rushing_td,cfbd_final_rushing_yds,cfbd_final_rushing_ypc,cfbd_final_conference,cfbd_team_talent
2010,Seyi Ajirotutu,WR,Fresno State,6-3,204.0,4.6,36.0,14.0,115.0,7.22,4.39,False,,,75.0,seyi ajirotutu,2010,,,,,,,,,,18911.0,12.5,"exact_name,school,position,final_season",Seyi Ajirotutu,Fresno State,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,182.0,129.0,12.0,1997.0,56.099999999999994,2.0,3.0,1.0,3.0,1.5,4.0,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,46.0,49.0,7.0,677.0,13.8,,,,,,Western Athletic,
2010,Danario Alexander,WR,Missouri,6-5,215.0,4.62,,,,,,False,,,77.0,danario alexander,2010,,,,,,,,,,5188.0,12.5,"exact_name,school,position,final_season",Danario Alexander,Missouri,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,0.0,0.5,1.0,40.0,20.0,,,,,,,,,,,,245.0,191.0,22.0,2778.0,56.5,11.0,46.0,0.0,59.0,24.2,4.0,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,0.5,1.0,40.0,20.0,,,,,,,,,,,,84.0,113.0,14.0,1781.0,15.8,1.0,10.0,0.0,10.0,10.0,Big 12,
2010,Alric Arnett,WR,West Virginia,6-2,188.0,4.52,40.0,,122.0,7.03,4.43,False,,,74.0,alric arnett,2010,,,,,,,,,,664.0,12.5,"exact_name,school,position,final_season",Alric Arnett,West Virginia,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,78.0,9.0,1052.0,26.9,2.0,0.0,0.0,-4.0,-2.0,2.0,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,43.0,3.0,586.0,13.6,,,,,,Big East,
2010,Brandon Banks,WR,Kansas State,5-7,149.0,4.37,31.0,,113.0,6.88,4.29,False,,,67.0,brandon banks,2010,,,,,,,,,,2014.0,12.5,"exact_name,school,position,final_season",Brandon Banks,Kansas State,WR,,,,,,,,,,,,,,,,,,,,,,28.9,98.0,39.0,4.0,1127.0,,,,,,,,,,,,,,15.899999999999999,60.0,31.0,0.0,213.0,141.0,123.0,10.0,1754.0,28.299999999999997,18.0,113.0,1.0,236.0,28.0,2.0,2009.0,,,,,,,,,,,,,,,,,,,,,,28.9,98.0,39.0,4.0,1127.0,,,,,,,,,,,,,,6.2,26.0,25.0,0.0,155.0,64.0,56.0,1.0,705.0,12.6,11.0,20.0,0.0,110.0,10.0,Big 12,
2010,Chris Bell,WR,Norfolk State,6-2,211.0,4.5,35.0,15.0,117.0,6.76,4.35,False,,,74.0,chris bell,2010,,,,,,,,,,,8.0,"low_confidence:exact_name,position",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Joique Bell,RB,Wayne State (MI),5-11,220.0,4.68,36.5,,120.0,6.84,4.17,False,,,71.0,joique bell,2010,,,,,,,,,,,0.0,no_name_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Arrelious Benn,WR,Illinois,6-1,219.0,4.57,37.0,20.0,118.0,,,True,2.0,39.0,73.0,arrelious benn,2010,BennAr00,00-0027654,8.0,0.0,0.0,False,21.0,Illinois,TAM,1218.0,12.5,"exact_name,school,position,final_season",Arrelious Benn,Illinois,WR,,,,,,,,,,,,,,,,,,,,,,26.5,40.0,12.0,0.0,318.0,,,,,,,,,,,,,,5.2,31.0,23.0,0.0,114.0,168.0,159.0,7.0,2221.0,41.1,62.0,48.0,3.0,282.0,12.600000000000001,3.0,2009.0,,,,,,,,,,,,,,,,,,,,,,26.5,40.0,12.0,0.0,318.0,,,,,,,,,,,,,,,,,,,58.0,38.0,2.0,490.0,12.9,7.0,8.0,1.0,23.0,3.3,Big Ten,
2010,Jahvid Best,RB,California,5-10,199.0,4.34,32.5,18.0,113.0,6.75,4.17,True,1.0,30.0,70.0,jahvid best,2010,BestJa00,00-0027880,13.0,0.0,0.0,False,21.0,California,DET,,0.0,no_name_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,LeGarrette Blount,RB,Oregon,6-0,241.0,4.7,35.0,18.0,117.0,6.85,4.49,False,,,72.0,legarrette blount,2010,,,,,,,,,,14257.0,12.5,"exact_name,school,position,final_season",LeGarrette Blount,Oregon,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,4.0,0.0,15.0,7.5,159.0,102.0,19.0,1084.0,11.0,2.0,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,0.0,13.0,6.5,22.0,30.0,2.0,82.0,3.7,Pac-10,
2010,Nyan Boateng,WR,California,6-1,204.0,4.66,36.0,14.0,112.0,7.35,4.69,False,,,73.0,nyan boateng,2010,,,,,,,,,,16845.0,12.5,"exact_name,school,position,final_season",Nyan Boateng,California,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,42.0,7.0,630.0,29.799999999999997,1.0,0.0,0.0,0.0,0.0,2.0,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,13.0,2.0,191.0,14.7,,,,,,Pac-10,
