Year,Player,School,Pos,Round,Pick,draft_pick_value,w_av,expected_w_av_from_pick,over_expected_w_av,beat_pick_expectation,college_match_score,college_match_reason,height_inches,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,combine_missing_40yd,combine_missing_vertical,combine_missing_broad_jump,combine_missing_bench,combine_missing_3cone,combine_missing_shuttle,cfbd_seasons_played,cfbd_final_conference,cfbd_team_talent,cfbd_career_receiving_rec,cfbd_career_receiving_yds,cfbd_career_receiving_td,cfbd_career_receiving_ypr,cfbd_career_receiving_yds_per_season,cfbd_final_receiving_rec,cfbd_final_receiving_yds,cfbd_final_receiving_td,cfbd_final_receiving_ypr,cfbd_final_yards_per_reception
2010,Arrelious Benn,Illinois,WR,2.0,39.0,0.16012815380508713,8.0,26.466081069715692,-18.466081069715692,0,12.5,"exact_name,school,position,final_season",73.0,219.0,4.57,37.0,20.0,118.0,,,0,0,0,0,1,1,3.0,Big Ten,,159.0,2221.0,7.0,41.1,740.3333333333334,38.0,490.0,2.0,12.9,12.894736842105264
2010,Dezmon Briscoe,Kansas,WR,6.0,191.0,0.07235746052924216,4.0,8.00623957480662,-4.006239574806621,0,12.5,"exact_name,school,position,final_season",74.0,207.0,4.66,33.0,9.0,115.0,7.1,4.57,0,0,0,0,0,0,3.0,Big 12,,217.0,3232.0,31.0,43.1,1077.3333333333333,84.0,1337.0,9.0,15.9,15.916666666666666
2010,Antonio Brown,Central Michigan,WR,6.0,195.0,0.0716114874039433,92.0,7.7654148459265215,84.23458515407347,1,12.5,"exact_name,school,position,final_season",70.0,186.0,4.56,33.5,13.0,105.0,6.98,4.18,0,0,0,0,0,0,3.0,Mid-American,,301.0,3176.0,22.0,31.6,1058.6666666666667,110.0,1198.0,9.0,10.9,10.89090909090909
2010,Dez Bryant,Oklahoma State,WR,1.0,24.0,0.20412414523193154,61.0,32.107379526667664,28.892620473332336,1,12.5,"exact_name,school,position,final_season",74.0,225.0,4.52,,,,,,0,1,1,1,1,1,3.0,Big 12,,142.0,2356.0,29.0,50.6,785.3333333333334,17.0,323.0,4.0,19.0,19.0
2010,Riley Cooper,Florida,WR,5.0,159.0,0.07930515857181442,17.0,10.136875781025921,6.863124218974079,1,12.5,"exact_name,school,position,final_season",75.0,222.0,4.53,33.0,,114.0,,,0,0,0,1,1,1,4.0,SEC,,81.0,1496.0,18.0,79.1,374.0,51.0,961.0,9.0,18.8,18.84313725490196
2010,Eric Decker,Minnesota,WR,3.0,87.0,0.10721125348377948,45.0,17.143314740798452,27.856685259201548,1,12.5,"exact_name,school,position,final_season",75.0,217.0,4.54,,15.0,,,,0,1,1,0,1,1,4.0,Big Ten,,227.0,3119.0,24.0,56.1,779.75,50.0,758.0,5.0,15.2,15.16
2010,Marcus Easley,Connecticut,WR,4.0,107.0,0.09667364890456635,1.0,14.739024888294615,-13.739024888294615,0,12.5,"exact_name,school,position,final_season",75.0,210.0,4.39,34.0,16.0,123.0,6.94,4.6,0,0,0,0,0,0,3.0,Big East,,53.0,997.0,8.0,52.1,332.3333333333333,48.0,893.0,8.0,18.6,18.604166666666668
2010,Jacoby Ford,Clemson,WR,4.0,108.0,0.09622504486493763,12.0,14.630936878861895,-2.6309368788618954,0,12.5,"exact_name,school,position,final_season",69.0,186.0,4.28,33.5,15.0,115.0,7.0,4.44,0,0,0,0,0,0,4.0,ACC,,140.0,1919.0,15.0,55.0,479.75,56.0,779.0,6.0,13.9,13.910714285714286
2010,Mardy Gilyard,Cincinnati,WR,4.0,99.0,0.10050378152592121,1.0,15.64195489091707,-14.64195489091707,0,12.5,"exact_name,school,position,final_season",72.0,187.0,4.61,39.0,,116.0,6.92,4.4,0,0,0,1,0,0,3.0,Big East,,204.0,3003.0,25.0,44.4,1001.0,87.0,1191.0,11.0,13.7,13.689655172413794
2010,Trindon Holliday,LSU,WR,6.0,197.0,0.07124704998790965,4.0,7.646848743410253,-3.646848743410253,0,10.5,"exact_name,school,final_season",65.0,166.0,4.34,42.0,10.0,116.0,6.54,4.48,0,0,0,0,0,0,4.0,SEC,,7.0,72.0,0.0,30.0,18.0,3.0,36.0,0.0,12.0,12.0
